feature,n_present_total,prevalence_total_percent,n_present_resistant,n_present_susceptible,prevalence_resistant_percent,prevalence_susceptible_percent,odds_ratio,p_value,n_absent_resistant,n_absent_susceptible,fdr_p_value,significant_fdr_0.05
floR,22,3.05,12,10,4.36,2.24,1.9893536121673003,0.12140015104524286,263,436,0.38762855246024913,False
parC_A108T,2,0.28,2,0,0.73,0.0,,0.14514948374171674,273,446,0.39428665732824547,False
rpoB_V146F,2,0.28,2,0,0.73,0.0,,0.14514948374171674,273,446,0.39428665732824547,False
blaLAP-2,2,0.28,2,0,0.73,0.0,,0.14514948374171674,273,446,0.39428665732824547,False
parC_A56T,2,0.28,2,0,0.73,0.0,,0.14514948374171674,273,446,0.39428665732824547,False
rmtB1,2,0.28,2,0,0.73,0.0,,0.14514948374171674,273,446,0.39428665732824547,False
blaOXA-181,2,0.28,2,0,0.73,0.0,,0.14514948374171674,273,446,0.39428665732824547,False
blaCTX-M-55,2,0.28,2,0,0.73,0.0,,0.14514948374171674,273,446,0.39428665732824547,False
aac(6')-Il,2,0.28,2,0,0.73,0.0,,0.14514948374171674,273,446,0.39428665732824547,False
aac(6')-Ib4,2,0.28,2,0,0.73,0.0,,0.14514948374171674,273,446,0.39428665732824547,False
blaIMP-1,2,0.28,2,0,0.73,0.0,,0.14514948374171674,273,446,0.39428665732824547,False
gyrA_D87G,5,0.69,0,5,0.0,1.12,0.0,0.16262366349569246,275,441,0.4151811686398196,False
blaSHV-1,5,0.69,0,5,0.0,1.12,0.0,0.16262366349569246,275,441,0.4151811686398196,False
qnrA1,5,0.69,0,5,0.0,1.12,0.0,0.16262366349569246,275,441,0.4151811686398196,False
qnrB19,5,0.69,0,5,0.0,1.12,0.0,0.16262366349569246,275,441,0.4151811686398196,False
dfrA5,9,1.25,1,8,0.36,1.79,0.19981751824817517,0.16424749528608246,274,438,0.4151811686398196,False
aph(3')-Ia,18,2.5,4,14,1.45,3.14,0.4554559831312599,0.21983733712137318,271,432,0.5480876076176701,False
ampC_C-42T,7,0.97,1,6,0.36,1.35,0.26763990267639903,0.2613001956116697,274,440,0.6197988904299583,False
blaCTX-M-1,3,0.42,0,3,0.0,0.67,0.0,0.29120434581599625,275,443,0.6197988904299583,False
dfrA16,3,0.42,0,3,0.0,0.67,0.0,0.29120434581599625,275,443,0.6197988904299583,False
qacF,3,0.42,0,3,0.0,0.67,0.0,0.29120434581599625,275,443,0.6197988904299583,False
blaACT-17,3,0.42,0,3,0.0,0.67,0.0,0.29120434581599625,275,443,0.6197988904299583,False
gyrA_S83A,4,0.55,0,4,0.0,0.9,0.0,0.303481631933192,275,442,0.6197988904299583,False
blaTEM-40,4,0.55,0,4,0.0,0.9,0.0,0.303481631933192,275,442,0.6197988904299583,False
blaOXA-2,4,0.55,0,4,0.0,0.9,0.0,0.303481631933192,275,442,0.6197988904299583,False
acrR_R45C,4,0.55,0,4,0.0,0.9,0.0,0.303481631933192,275,442,0.6197988904299583,False
gyrA_D87Y,5,0.69,3,2,1.09,0.45,2.448529411764706,0.37509508424709065,272,444,0.6197988904299583,False
pmrB_V161G,1,0.14,1,0,0.36,0.0,,0.38141470180305126,274,446,0.6197988904299583,False
nfsA_G131D,1,0.14,1,0,0.36,0.0,,0.38141470180305126,274,446,0.6197988904299583,False
aadA3,1,0.14,1,0,0.36,0.0,,0.38141470180305126,274,446,0.6197988904299583,False
qnrS13,1,0.14,1,0,0.36,0.0,,0.38141470180305126,274,446,0.6197988904299583,False
aph(4)-Ia,1,0.14,1,0,0.36,0.0,,0.38141470180305126,274,446,0.6197988904299583,False
aac(3)-IVa,1,0.14,1,0,0.36,0.0,,0.38141470180305126,274,446,0.6197988904299583,False
rpoB_Q148L,1,0.14,1,0,0.36,0.0,,0.38141470180305126,274,446,0.6197988904299583,False
nfsA_S33R,1,0.14,1,0,0.36,0.0,,0.38141470180305126,274,446,0.6197988904299583,False
blaTEM-29,1,0.14,1,0,0.36,0.0,,0.38141470180305126,274,446,0.6197988904299583,False
qnrB,1,0.14,1,0,0.36,0.0,,0.38141470180305126,274,446,0.6197988904299583,False
arr-3,1,0.14,1,0,0.36,0.0,,0.38141470180305126,274,446,0.6197988904299583,False
blaCMY-145,1,0.14,1,0,0.36,0.0,,0.38141470180305126,274,446,0.6197988904299583,False
qepA8,1,0.14,1,0,0.36,0.0,,0.38141470180305126,274,446,0.6197988904299583,False
marR_E31STOP,1,0.14,1,0,0.36,0.0,,0.38141470180305126,274,446,0.6197988904299583,False
parE_E460K,1,0.14,1,0,0.36,0.0,,0.38141470180305126,274,446,0.6197988904299583,False
qnrB1,1,0.14,1,0,0.36,0.0,,0.38141470180305126,274,446,0.6197988904299583,False
rmtB,1,0.14,1,0,0.36,0.0,,0.38141470180305126,274,446,0.6197988904299583,False
aph(3')-VI,1,0.14,1,0,0.36,0.0,,0.38141470180305126,274,446,0.6197988904299583,False
blaOXA-10,1,0.14,1,0,0.36,0.0,,0.38141470180305126,274,446,0.6197988904299583,False
catA,1,0.14,1,0,0.36,0.0,,0.38141470180305126,274,446,0.6197988904299583,False
tet(J),1,0.14,1,0,0.36,0.0,,0.38141470180305126,274,446,0.6197988904299583,False
nfsA_K141STOP,1,0.14,1,0,0.36,0.0,,0.38141470180305126,274,446,0.6197988904299583,False
nfsA_R203C,1,0.14,1,0,0.36,0.0,,0.38141470180305126,274,446,0.6197988904299583,False
blaOXA-484,1,0.14,1,0,0.36,0.0,,0.38141470180305126,274,446,0.6197988904299583,False
gyrA_S83V,1,0.14,1,0,0.36,0.0,,0.38141470180305126,274,446,0.6197988904299583,False
smr,1,0.14,1,0,0.36,0.0,,0.38141470180305126,274,446,0.6197988904299583,False
blaVIM-1,1,0.14,1,0,0.36,0.0,,0.38141470180305126,274,446,0.6197988904299583,False
aac(6')-Ib-cr,1,0.14,1,0,0.36,0.0,,0.38141470180305126,274,446,0.6197988904299583,False
aph(3')-IIa,1,0.14,1,0,0.36,0.0,,0.38141470180305126,274,446,0.6197988904299583,False
ant(2'')-Ia,26,3.61,12,14,4.36,3.14,1.4079304725692559,0.4152141651223336,263,432,0.6687520181616347,False
blaSHV-12,7,0.97,4,3,1.45,0.67,2.179581795817958,0.4367291909911418,271,443,0.6972343224595422,False
parC_S57T,18,2.5,5,13,1.82,2.91,0.6168091168091168,0.4644431342326734,270,433,0.7350317428725788,False
dfrA14,36,4.99,16,20,5.82,4.48,1.3158301158301158,0.48221623343687375,259,426,0.7565806421164744,False
erm(B),10,1.39,5,5,1.82,1.12,1.6333333333333333,0.5174548027824828,270,441,0.7868808248006083,False
sul3,10,1.39,5,5,1.82,1.12,1.6333333333333333,0.5174548027824828,270,441,0.7868808248006083,False
dfrA8,2,0.28,0,2,0.0,0.45,0.0,0.5274695638773308,275,444,0.7868808248006083,False
blaTEM-135,2,0.28,0,2,0.0,0.45,0.0,0.5274695638773308,275,444,0.7868808248006083,False
aac(6')-Ib3,2,0.28,0,2,0.0,0.45,0.0,0.5274695638773308,275,444,0.7868808248006083,False
blaVIM-4,2,0.28,0,2,0.0,0.45,0.0,0.5274695638773308,275,444,0.7868808248006083,False
blaTEM-1,297,41.19,109,188,39.64,42.15,0.901115098692643,0.5335290766913935,166,258,0.7894495281124684,False
aadA22,3,0.42,2,1,0.73,0.22,3.26007326007326,0.5613156243228349,273,445,0.8107892351329837,False
soxR_G121D,3,0.42,2,1,0.73,0.22,3.26007326007326,0.5613156243228349,273,445,0.8107892351329837,False
soxS_A12S,3,0.42,2,1,0.73,0.22,3.26007326007326,0.5613156243228349,273,445,0.8107892351329837,False
qacE,17,2.36,5,12,1.82,2.69,0.6697530864197531,0.615014568416374,270,434,0.8813594602502368,False
qnrS1,23,3.19,10,13,3.64,2.91,1.2568940493468794,0.6641299258212174,265,433,0.9369895077477641,False
blaTEM,23,3.19,10,13,3.64,2.91,1.2568940493468794,0.6641299258212174,265,433,0.9369895077477641,False
lnu(F),6,0.83,3,3,1.09,0.67,1.6286764705882353,0.6792971584318095,272,443,0.9510160218045333,False
blaOXA-244,7,0.97,2,5,0.73,1.12,0.6461538461538462,0.7142829229665211,273,441,0.9885964766169055,False
tet(D),8,1.11,2,6,0.73,1.35,0.5372405372405372,0.7170040379858875,273,440,0.9885964766169055,False
catA1,34,4.72,13,21,4.73,4.71,1.0041802980734278,1.0,262,425,1.0,False
gyrA_S83I,1,0.14,0,1,0.0,0.22,0.0,1.0,275,445,1.0,False
aac(6')-If,1,0.14,0,1,0.0,0.22,0.0,1.0,275,445,1.0,False
parC_S80R,2,0.28,1,1,0.36,0.22,1.6240875912408759,1.0,274,445,1.0,False
blaCMY,1,0.14,0,1,0.0,0.22,0.0,1.0,275,445,1.0,False
dfrA7,8,1.11,3,5,1.09,1.12,0.9727941176470588,1.0,272,441,1.0,False
blaCMY-2,8,1.11,3,5,1.09,1.12,0.9727941176470588,1.0,272,441,1.0,False
blaTEM-30,1,0.14,0,1,0.0,0.22,0.0,1.0,275,445,1.0,False
blaCTX-M-14,9,1.25,3,6,1.09,1.35,0.8088235294117647,1.0,272,440,1.0,False
blaCTX-M-65,1,0.14,0,1,0.0,0.22,0.0,1.0,275,445,1.0,False
fosA3,1,0.14,0,1,0.0,0.22,0.0,1.0,275,445,1.0,False
qacL,8,1.11,3,5,1.09,1.12,0.9727941176470588,1.0,272,441,1.0,False
blaTEM-31,1,0.14,0,1,0.0,0.22,0.0,1.0,275,445,1.0,False
cmlA1,7,0.97,3,4,1.09,0.9,1.21875,1.0,272,442,1.0,False
blaCTX-M-8,1,0.14,0,1,0.0,0.22,0.0,1.0,275,445,1.0,False
marR_V45E,1,0.14,0,1,0.0,0.22,0.0,1.0,275,445,1.0,False
qnrS2,1,0.14,0,1,0.0,0.22,0.0,1.0,275,445,1.0,False
blaACT-15,1,0.14,0,1,0.0,0.22,0.0,1.0,275,445,1.0,False
nfsA_Q44STOP,1,0.14,0,1,0.0,0.22,0.0,1.0,275,445,1.0,False
rpoB_S531F,1,0.14,0,1,0.0,0.22,0.0,1.0,275,445,1.0,False
qnrB4,4,0.55,1,3,0.36,0.67,0.5389294403892944,1.0,274,443,1.0,False
blaDHA-1,4,0.55,1,3,0.36,0.67,0.5389294403892944,1.0,274,443,1.0,False
blaSHV,1,0.14,0,1,0.0,0.22,0.0,1.0,275,445,1.0,False
ampC_C-11T,2,0.28,1,1,0.36,0.22,1.6240875912408759,1.0,274,445,1.0,False
dfrA19,3,0.42,1,2,0.36,0.45,0.8102189781021898,1.0,274,444,1.0,False
blaCTX-M-3,1,0.14,0,1,0.0,0.22,0.0,1.0,275,445,1.0,False
mph(B),2,0.28,1,1,0.36,0.22,1.6240875912408759,1.0,274,445,1.0,False
blaCARB-2,1,0.14,0,1,0.0,0.22,0.0,1.0,275,445,1.0,False
parE_L445H,2,0.28,1,1,0.36,0.22,1.6240875912408759,1.0,274,445,1.0,False
blaMIR-3,1,0.14,0,1,0.0,0.22,0.0,1.0,275,445,1.0,False
blaKPC-2,3,0.42,1,2,0.36,0.45,0.8102189781021898,1.0,274,444,1.0,False
blaACT,1,0.14,0,1,0.0,0.22,0.0,1.0,275,445,1.0,False
tet(M),2,0.28,1,1,0.36,0.22,1.6240875912408759,1.0,274,445,1.0,False
blaNDM,1,0.14,0,1,0.0,0.22,0.0,1.0,275,445,1.0,False
catA2,1,0.14,0,1,0.0,0.22,0.0,1.0,275,445,1.0,False
blaNDM-1,2,0.28,1,1,0.36,0.22,1.6240875912408759,1.0,274,445,1.0,False
aac(6')-IIc,1,0.14,0,1,0.0,0.22,0.0,1.0,275,445,1.0,False
aac(3)-IIg,1,0.14,0,1,0.0,0.22,0.0,1.0,275,445,1.0,False
arr,1,0.14,0,1,0.0,0.22,0.0,1.0,275,445,1.0,False
ere(A),1,0.14,0,1,0.0,0.22,0.0,1.0,275,445,1.0,False
ampC_T-14TGT,2,0.28,1,1,0.36,0.22,1.6240875912408759,1.0,274,445,1.0,False
blaACT-16,1,0.14,0,1,0.0,0.22,0.0,1.0,275,445,1.0,False
blaOXA-519,1,0.14,0,1,0.0,0.22,0.0,1.0,275,445,1.0,False
blaVIM,1,0.14,0,1,0.0,0.22,0.0,1.0,275,445,1.0,False
blaTEM-33,1,0.14,0,1,0.0,0.22,0.0,1.0,275,445,1.0,False
basR_S39I,1,0.14,0,1,0.0,0.22,0.0,1.0,275,445,1.0,False
dfrA29,1,0.14,0,1,0.0,0.22,0.0,1.0,275,445,1.0,False
folP_P64S,1,0.14,0,1,0.0,0.22,0.0,1.0,275,445,1.0,False
blaTEM-176,1,0.14,0,1,0.0,0.22,0.0,1.0,275,445,1.0,False
blaTEM-35,1,0.14,0,1,0.0,0.22,0.0,1.0,275,445,1.0,False
